epoch,loss,val_loss
0,7.81428236913681,6.114253034654832
1,5.96912189912796,5.537947089466828
2,5.528746719360352,5.111122857655911
3,5.305996203899384,4.968747113714155
4,5.126490222930908,5.003885806001575
5,5.174242300987244,4.796311012167015
6,4.970220777511597,4.595858360757891
7,4.874877942085266,4.596330939539221
8,4.786385786771774,4.617915772444365
9,4.755695847511292,4.523024123236044
0,8.068643475532532,6.4058133813719085
1,6.559904953002929,6.138228555388798
2,6.1670086007118226,5.924312512606185
3,6.012518435001374,5.870924665438419
4,5.851085846424103,5.813081425546811
5,5.775743377685547,5.635339664307651
6,5.702397488117218,5.560805753366837
7,6.2240015964508055,5.740412228944286
8,5.785321547508239,5.667966264762626
9,5.7030725746154785,5.576692085392428
0,13.939011073589326,7.517815962532498
10,4.719194590330124,4.403303626357325
10,4.701096079587936,4.3702876157318515
10,4.631222912073135,4.54843098912018
11,4.597702811956406,4.28967321945342
12,4.573681592941284,4.214146348814301
13,4.567328435897827,4.258855781807805
14,4.553351253509521,4.262879257960035
15,4.500645194530487,4.220853830804888
16,4.502442757606507,4.411517065881894
17,4.468613837242127,4.009380765308608
18,4.471650830030441,4.083569910352593
19,4.440251626014709,3.998397653466029
20,4.412883532047272,4.170494376428869
21,4.419237131595612,4.058912073539583
22,4.3822305171489715,4.033944272047637
23,4.362220856904983,3.937157528289896
24,4.3732870888710025,4.0453037631432744
25,4.347548999071122,3.8963811839653166
26,4.3434314033985135,3.9427723205642193
27,4.304121530532837,3.8453015586398296
28,4.280796286821365,3.8241515191185553
29,4.302753443241119,3.877514632332404
30,4.267165497779846,3.7923122557583233
31,4.271662556409836,3.852494104019064
32,4.257292424678803,3.7551968350315725
33,4.257108462572098,3.860445900468637
34,4.24372309422493,3.9124669839214805
35,4.228522134065628,3.7144642839368607
36,4.231854773521423,3.714657006674255
37,4.192915515422821,3.594477906132376
38,4.219887762069702,3.811528671656223
39,4.21584014081955,3.763846924762852
40,4.195869025230408,3.8427414625685734
41,4.1739439058303835,3.776361905975847
42,4.18311215209961,3.6741785608380044
43,4.188220442533493,3.719174962959542
44,4.134245893001556,3.568168360665934
45,4.14868115401268,3.688634283495265
46,4.178806755542755,3.752227404259688
47,4.148618065118789,3.6203678017420486
48,4.150742262125015,3.6441297846914127
49,4.140386074543,3.718433046972515
0,5.02434150539419,4.66953196465648
1,4.920097780124568,4.545691970948471
2,4.862712290055117,4.558723900005676
3,4.84166736353888,4.444721496212204
4,4.81085109146712,4.378681145108152
5,4.774012218033972,4.501364849285762
6,4.796363245062483,4.374828718808652
7,4.747693230018887,4.397071003100602
8,4.718550144898073,4.333480926989653
9,4.676637509384261,4.305245711088609
10,4.718889501464182,4.201465942872491
11,4.73659925128913,4.295193780988081
12,4.6800906667577085,4.256739839403163
13,4.676323549901804,4.213721025781957
14,4.655120409827233,4.236460908567884
15,4.636323700895032,4.245257917041196
16,4.653811534235711,4.300292062245751
17,4.642271688491121,4.262793373162699
18,4.5953112683738295,4.223375052138762
19,4.617973077253289,4.219836200118279
20,4.634888120289222,4.302320186710872
21,4.6383836808925665,4.237459599736349
22,4.606066434829196,4.251756981673318
23,4.601801771221916,4.152936769516293
24,4.603796749348894,4.428721248568495
25,4.634487695147316,4.17542057876313
26,4.599913655514941,4.297316288049174
27,4.601845187508967,4.143000664788046
28,4.5710238029348575,4.158969632342217
29,4.583601754154474,4.251519052002117
30,4.589834877691133,4.120077560106343
31,4.548204376260495,4.114288399591908
32,4.535428936756959,4.099632865522238
33,4.57002909898455,4.141873869562064
34,4.551782666204541,4.1209012302076795
35,4.545827666807272,4.137721049378976
0,8.4109461645351,6.466209002335867
1,6.37024843055459,5.907411595185597
2,6.029224049699567,5.603663076957067
3,5.75251999618808,5.30183930794398
4,5.578770324047719,5.2819138725598656
5,5.519780534469426,5.203142935037613
6,5.338076519659878,4.902751775582631
7,5.234428566244514,4.887172891696294
8,5.15562346781988,4.753479196627935
0,9.358144047546096,6.507780874808003
1,6.559662646395668,6.068947243878222
2,6.15803651128583,5.703444937082726
3,5.871645047562671,5.4589125115101735
4,5.666249697288839,5.2701896738818315
5,5.512436307134655,5.076233597252313
6,5.399007540380075,5.111704475297703
7,5.291396993937632,5.00192955722959
8,5.2594558264463,4.906843480162733
9,5.174596150271203,4.7644864499099615
0,9.586793855795726,7.369806011830728
1,6.560241774342751,6.012316617440051
2,6.238475284477012,5.758053982351709
3,5.894239836491398,5.536382288444699
4,5.7244304096233085,5.28077297323332
5,5.5667402450402355,5.294578910812619
6,5.438129456291975,5.0719609973937505
7,5.366054879368687,5.01902080333139
8,5.244243054630707,4.906368321321142
9,5.172026215831135,4.789621463910801
10,5.084252719694584,4.718358595540204
11,5.0524934588915515,4.7682698767954905
12,5.032760040021919,4.627929235067893
13,4.999076175265033,4.6877304606550325
14,4.956235163236089,4.6457730353347895
15,4.985510850674443,4.668012423778143
16,4.945568633949979,4.749861781052717
17,4.957672238122329,4.601728857971552
18,4.920062500162586,4.6043061290200304
19,4.891949786329597,4.574424698596864
20,4.908058449967217,4.602536090715664
21,4.894424304508316,4.578488237275852
22,4.8426836472193235,4.517620387039785
23,4.87760584078369,4.5136627249830354
24,4.827632797893566,4.426306105035496
25,4.811410380071558,4.407919416277427
26,4.8186129003660865,4.502207733514741
27,4.813113246450173,4.397326613974384
28,4.818385479984089,4.429498293268399
29,4.774030497383182,4.4053544115832475
30,4.812941933181497,4.6007396527162685
31,4.771439676037208,4.490171317979107
32,4.775456346516453,4.437988923290583
33,4.749245386294779,4.539937304699515
34,4.759978632096814,4.464978867628443
35,4.754966265425143,4.415730369372631
36,4.736635424879563,4.470010641052967
37,4.766597889112537,4.33633142944396
38,4.710552825312813,4.319635898109496
39,4.717649789321994,4.361746406930638
40,4.726399625452908,4.48099395046084
41,4.710651721270982,4.382820339653436
42,4.731624830654412,4.39889384442427
43,4.726659729839722,4.308355547311738
44,4.70791169069281,4.419453457584531
45,4.690401300408954,4.341105776508962
46,4.692769225679202,4.3261362999443
47,4.675058611931692,4.339429295907809
48,4.672877200986216,4.490147455470768
49,4.679617592771651,4.3387932308076875
50,4.6625967214077795,4.2935244530204715
51,4.649103282411918,4.276730441671657
52,4.668549738764596,4.262636355527743
53,4.674663440477453,4.319131757330707
54,4.6913783905721775,4.451929963479831
55,4.650743834741634,4.28491443536413
56,4.673682260070329,4.282777390142125
57,4.641669201853926,4.364065968145535
58,4.628426968831642,4.3229790221987745
59,4.62464706280063,4.322765265862773
60,4.652402438354008,4.2909552206204635
61,4.6690781377208435,4.403908650706134
62,4.656232044555065,4.30348951046861
63,4.654148407299423,4.342649608146488
64,4.638297325961693,4.27151346206665
65,4.621964932822526,4.278243697534396
66,4.653227080278291,4.320479182746467
67,4.62556575127434,4.310281192223857
68,4.626598271911977,4.278049482135322
69,4.601981254004001,4.337992771403996
70,4.625248548670436,4.194242670780092
71,4.618220945581071,4.2595542490951654
72,4.620447177279319,4.396264084680813
73,4.59688759954646,4.236305741813239
74,4.616723328794674,4.263197144185464
75,4.623730329502146,4.298784552596685
76,4.599110287849043,4.328221758519571
77,4.603136208970528,4.397801868558869
78,4.5912429358852895,4.326257745112021
79,4.590714539741909,4.324472279060544
80,4.3939462931692175,4.022107067070608
81,4.339418742438971,3.983364294833086
82,4.284804125730586,3.962262606057595
83,4.269244048711272,3.953663157665823
84,4.273122601385398,3.9328264523678875
85,4.286612379520601,3.939541757576109
86,4.257833998430285,3.923132482476122
87,4.242804319931901,3.9124159409305244
88,4.248266495284491,3.9113570536215474
89,4.236214774350957,3.894499798459331
90,4.244108205983695,3.867203402706957
91,4.223173591606485,3.8480928864066057
92,4.180804906979027,3.858903205300879
93,4.210465740590229,3.889829434747771
94,4.2008417439014805,3.8800245654864574
95,4.18966593351073,3.8483737106398332
96,4.214757618393693,3.872811809299499
97,4.186170242929811,3.8343766233113805
98,4.179570320799938,3.839552971321767
99,4.169426898272849,3.8126474562592394
100,4.145857245226385,3.8076348464320025
101,4.165301045702577,3.801777884716124
102,4.1443748722120075,3.7992142729871854
103,4.155136238513883,3.8012100495691374
104,4.14113136799046,3.7976038343324436
105,4.138369455878599,3.798764625872214
106,4.151418821034138,3.7978658488416297
107,4.12407389891507,3.80323621888799
108,4.133849053119715,3.790737096718916
109,4.162606145523274,3.8011449828861266
110,4.129964129184624,3.789885763108261
111,4.141598622874184,3.7942657320518194
112,4.127279332240372,3.789700109188951
113,4.129630550681452,3.7892835271640086
114,4.149867278998405,3.787656337257445
115,4.1572449662159485,3.790843902610418
116,4.1195040986411815,3.792020667256333
117,4.1398210804809965,3.790859798746785
118,4.117086704655953,3.7933493167396604
119,4.139860081521003,3.781150928632481
120,4.145062216003605,3.7849729821437927
121,4.143095360019404,3.7838551434944936
122,4.131906566964414,3.789053375326742
123,4.114953401419001,3.7852014209341815
124,4.1297398708691535,3.795088662875919
0,9.06611478507716,6.573069587467224
1,6.475612923000465,5.994251617296475
2,6.1778843326461885,5.718743187236035
3,5.8566660525628365,5.429545438195777
4,5.658969168323294,5.203681934536911
5,5.519918771717806,5.15463624601289
6,5.406998826917732,5.074158056514469
7,5.276625519516569,4.9936681244317
8,5.255794492798997,4.89651322177076
9,5.163050015241708,4.78912549694692
10,5.093965372936113,4.810369384570385
11,5.0571182887649435,4.696100632975421
12,4.993625775920398,4.706100324946125
13,4.98558157260788,4.617627134473305
14,4.964589705997312,4.660696269958977
15,4.935022251643293,4.601058509406142
16,4.902811904109326,4.64830475717079
17,4.883575322807966,4.55057122388224
18,4.863247497100869,4.571946337467104
19,4.869082803109748,4.5532246893785135
20,4.833809717655909,4.531198841380322
21,4.820300414471809,4.500444310856617
22,4.828799126453795,4.4987946101061
23,4.8183108488112,4.4222001822914665
24,4.804172331129599,4.51952691716472
25,4.785327789590002,4.466870086399589
